State,Rate,Rank,Year
United States,3.7,,2019
North Dakota,2.1,1,2019
Vermont,2.3,2,2019
Hawaii,2.5,3,2019
Colorado,2.6,4,2019
Iowa,2.6,4,2019
New Hampshire,2.6,4,2019
Utah,2.6,4,2019
Maine,2.8,8,2019
South Carolina,2.8,8,2019
South Dakota,2.8,8,2019
Virginia,2.8,8,2019
Idaho,3,12,2019
Nebraska,3,12,2019
Kansas,3.1,14,2019
Massachusetts,3.1,14,2019
Missouri,3.1,14,2019
Oklahoma,3.1,14,2019
Alabama,3.2,18,2019
Florida,3.2,18,2019
Wisconsin,3.2,18,2019
Indiana,3.3,21,2019
Maryland,3.4,22,2019
Minnesota,3.4,22,2019
New Jersey,3.4,22,2019
Tennessee,3.4,22,2019
Arkansas,3.5,26,2019
Connecticut,3.5,26,2019
Texas,3.5,26,2019
Georgia,3.6,29,2019
Montana,3.6,29,2019
Rhode Island,3.6,29,2019
Delaware,3.7,32,2019
Oregon,3.7,32,2019
Wyoming,3.7,32,2019
New York,3.8,35,2019
North Carolina,3.8,35,2019
Illinois,4,37,2019
Nevada,4,37,2019
California,4.1,39,2019
Kentucky,4.1,39,2019
Michigan,4.1,39,2019
Ohio,4.2,42,2019
Washington,4.3,43,2019
Pennsylvania,4.5,44,2019
Louisiana,4.6,45,2019
Arizona,4.9,46,2019
New Mexico,4.9,46,2019
West Virginia,4.9,46,2019
District of Columbia,5.4,49,2019
Mississippi,5.4,49,2019
Alaska,5.5,51,2019
