State,Max. Weekly Benefit Amount,Max Weekly Amt w/ Dependents,State Unemployment Insurance Benefits Site,Max Weeks,Year
Alabama,265,,Alabama Unemployment Information,26,2019
Alaska,370,,Alaska Unemployment Insurance State Website,26,2019
Arizona,240,,Arizona Department of Economic Security,26,2019
Arkansas,451,,Arkansas Department of Workforce Services,20,2019
California,450,,CA.gov EDD details,26,2019
Colorado,568,,Colorado Department of Labor and Employment,26,2019
Connecticut,598,,Connecticut Department of Labor,26,2019
Delaware,330,,Delaware Division of Unemployment Insurance,26,2019
District of Columbia,425,,DC Dept. of Employment Services,26,2019
Florida,275,,Florida Dept. of Economic Opportunity,12,2019
Georgia,330,,GA Department of Labor,14,2019
Hawaii,551,,Hawaii Unemployment Insurance State Website,26,2019
Idaho,410,,Idaho Dept. of Labor,26,2019
Illinois,449,613,IL Unemployment Insurance State Website,26,2019
Indiana,390,,Indiana Department of Workforce Development,26,2019
Iowa,447,548,Iowa Workforce Development,26,2019
Kansas,474,,Kansas Department of Labor,16,2019
Kentucky,415,,Kentucky Career Center,26,2019
Louisiana,247,,Louisiana Workforce Commission,26,2019
Maine,410,,Maine Department of Labor,26,2019
Maryland,430,,MD Department of Labor (DLLR),26,2019
Massachusetts,742,$742 + $25 p/child,MA Labor and Workforce Development,30,2019
Michigan,362,,Michigan UIA,20,2019
Minnesota,683,,MN Department of Employment and Economic Development,26,2019
Mississippi,235,,MS Department of Employment Security,26,2019
Missouri,320,,MO Department of Labor and Industrial Relations,20,2019
Montana,487,,MT Department of Labor and Industry,26,2019
Nebraska,392,,NE Department of Labor,26,2019
Nevada,427,,"NV Dept. of Employment, Training and Rehab",26,2019
New Hampshire,427,,NH Department of Employment Security,26,2019
New Jersey,677,,NJ Dept. of Labor and Workforce Development,26,2019
New Mexico,425,,NM Department of Workforce Solutions,26,2019
New York,430,,NY Dept. of Labor,26,2019
North Carolina,350,,NC Division of Employment Security,12,2019
North Dakota,633,,ND Job Service,26,2019
Ohio,435,587,Ohio Dept. of Job and Family Services,26,2019
Oklahoma,505,,Oklahoma UI Home Page,26,2019
Oregon,590,,Oregon Employment Department,26,2019
Pennsylvania,573,$573 + $8 p/week for each dependent,PA Office of Unemployment Compensation,26,2019
Puerto Rico,133,,PR Department of Labor & HR,26,2019
Rhode Island,566,,RI Dept. of Labor and Training,26,2019
South Carolina,326,,SC Dept. of Employment & Workforce,20,2019
South Dakota,345,,SD Department of Labor & Regulation,26,2019
Tennessee,275,,TN Dept. of Labor and Workforce Development,26,2019
Texas,493,,Texas Workforce Commission,26,2019
Utah,496,,Dept. of Workforce Services,26,2019
Vermont,458,,VT Dept. of Labor,26,2019
Virginia,378,,VA Employment Commission,26,2019
Washington,681,,WA Employment Security Department,26,2019
West Virginia,424,,West Virginia Unemployment Insurance Page,26,2019
Wisconsin,370,,WI Dept. of Workforce Development,26,2019
Wyoming,471,,Wyoming Unemployment Insurance Home Page,26,2019
