State,Rate,Rank,Year
United States,4.9,,2016
New Hampshire,2.8,1,2016
South Dakota,2.8,1,2016
Hawaii,3,3,2016
Nebraska,3.2,4,2016
North Dakota,3.2,4,2016
Colorado,3.3,6,2016
Vermont,3.3,6,2016
Utah,3.4,8,2016
Iowa,3.7,9,2016
Massachusetts,3.7,9,2016
Idaho,3.8,11,2016
Maine,3.9,12,2016
Minnesota,3.9,12,2016
Arkansas,4,14,2016
Virginia,4,14,2016
Montana,4.1,16,2016
Wisconsin,4.1,16,2016
Kansas,4.2,18,2016
Maryland,4.3,19,2016
Delaware,4.4,20,2016
Indiana,4.4,20,2016
Missouri,4.5,22,2016
Texas,4.6,23,2016
New York,4.8,24,2016
South Carolina,4.8,24,2016
Tennessee,4.8,24,2016
Florida,4.9,27,2016
Michigan,4.9,27,2016
Ohio,4.9,27,2016
Oklahoma,4.9,27,2016
Oregon,4.9,27,2016
Kentucky,5,32,2016
New Jersey,5,32,2016
Connecticut,5.1,34,2016
North Carolina,5.1,34,2016
Arizona,5.3,36,2016
Rhode Island,5.3,36,2016
Wyoming,5.3,36,2016
California,5.4,39,2016
Georgia,5.4,39,2016
Pennsylvania,5.4,39,2016
Washington,5.4,39,2016
Nevada,5.7,43,2016
Mississippi,5.8,44,2016
Illinois,5.9,45,2016
Alabama,6,46,2016
District of Columbia,6,46,2016
West Virginia,6,46,2016
Louisiana,6.1,49,2016
Alaska,6.6,50,2016
New Mexico,6.7,51,2016
